LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT,TYPE
7.6845000000,9.1447000000,325.9000000000,2.0000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"74","6.03",308.8000000000,26.4000000000,D,"0"
7.3591000000,7.4126000000,316.7000000000,2.7000000000,1.6000000000,2019-01-01,"1231",Aqua,MODIS,"47","6.03",293.3000000000,32.7000000000,D,"0"
7.9171000000,9.0352000000,318.6000000000,2.0000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"55","6.03",303.8000000000,16.6000000000,D,"0"
9.2280000000,12.8090000000,328.2000000000,1.1000000000,1.0000000000,2019-01-01,"1231",Aqua,MODIS,"67","6.03",314.1000000000,10.1000000000,D,"0"
7.8174000000,8.9831000000,319.8000000000,2.0000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"56","6.03",301.7000000000,19.3000000000,D,"0"
8.1174000000,10.4428000000,321.0000000000,1.5000000000,1.2000000000,2019-01-01,"1231",Aqua,MODIS,"59","6.03",308.1000000000,10.5000000000,D,"0"
6.9054000000,8.1999000000,315.8000000000,2.4000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"57","6.03",299.1000000000,22.4000000000,D,"0"
6.5191000000,7.0169000000,314.6000000000,3.0000000000,1.7000000000,2019-01-01,"1231",Aqua,MODIS,"51","6.03",292.4000000000,27.8000000000,D,"0"
6.1706000000,8.3659000000,315.7000000000,2.4000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"67","6.03",299.6000000000,23.2000000000,D,"0"
7.2454000000,7.9424000000,313.9000000000,2.5000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"20","6.03",293.8000000000,20.0000000000,D,"0"
7.6980000000,11.4105000000,315.5000000000,1.3000000000,1.1000000000,2019-01-01,"1231",Aqua,MODIS,"34","6.03",302.5000000000,8.1000000000,D,"0"
7.9180000000,8.9617000000,321.4000000000,2.0000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"57","6.03",303.9000000000,20.1000000000,D,"0"
7.6401000000,11.0235000000,323.0000000000,1.4000000000,1.2000000000,2019-01-01,"1231",Aqua,MODIS,"41","6.03",306.5000000000,18.3000000000,D,"0"
7.6442000000,11.0176000000,325.2000000000,1.4000000000,1.2000000000,2019-01-01,"1231",Aqua,MODIS,"68","6.03",307.0000000000,21.6000000000,D,"0"
7.9265000000,11.1677000000,330.6000000000,1.4000000000,1.2000000000,2019-01-01,"1231",Aqua,MODIS,"78","6.03",305.8000000000,28.9000000000,D,"0"
7.6546000000,11.9460000000,317.6000000000,1.2000000000,1.1000000000,2019-01-01,"1231",Aqua,MODIS,"58","6.03",303.8000000000,10.4000000000,D,"0"
6.7744000000,8.5332000000,321.5000000000,2.3000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"73","6.03",305.6000000000,26.9000000000,D,"0"
6.7754000000,8.5469000000,330.7000000000,2.3000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"82","6.03",305.8000000000,60.3000000000,D,"0"
